,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,result
43,binary_holdings,0.0,0.8657189949648708,1.612974684660956,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,2.370000000000004,0.5349999999999995,2.7600000000000016,24.39369367962587
44,BouBouNode,0.0,5.766311416639429,1.5411649003359926,10.10000000000003,0.0,1.0,0.0,1.0,1.0500000000000098,2.085000000000006,0.2149999999999993,1.3800000000000052,24.137476316975473
45,SOLAR Validator,0.0,0.7631483410403997,0.13416558554410793,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,2.7900000000000014,0.7949999999999998,1.3800000000000052,24.11231392658455
46,wosmongton,0.0,0.0002733828912915636,4.40118858410543,10.10000000000003,2.0,0.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,24.041461966996767
47,artifact,5.0,0.2478665161485836,0.13958273156795156,10.10000000000003,2.0,0.0,0.0,0.0,3.1500000000000066,1.2150000000000056,0.5349999999999995,1.3800000000000052,23.767449247716584
48,Cypher Core,0.0,5.5166186690597945,0.32464996957154624,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,23.68126863863139
49,01node,0.0,2.0959354999019877,0.07168695917962575,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.4600000000000035,0.07999999999999925,1.3800000000000052,23.337622459081658
50,Cephalopod Equipment Corp,0.0,0.00911276304305212,1.7322102834273578,10.10000000000003,2.0,1.0,1.0,1.0,0.7500000000000095,2.2800000000000047,0.5899999999999996,2.7900000000000014,23.251323046470457
51,Coverlet,0.0,2.8580944077500567,0.08993985775227434,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,23.008034265502378
52,Staky.io,0.0,0.00036451052172208477,0.09839805646716088,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,2.7900000000000014,0.3899999999999995,1.3800000000000052,22.90876256698893
53,Witval,0.0,2.27819076076303,0.9526302138448848,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.360000000000005,0.5349999999999995,1.3800000000000052,22.755820974607964
54,Inotel,0.0,1.366914456457818,2.2751170681329045,10.10000000000003,2.0,1.0,0.0,1.0,1.15000000000001,2.1900000000000053,0.09999999999999924,1.3800000000000052,22.56203152459077
55,OmniFlix Network,0.0,0.6132889527974077,0.6134569148199112,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.370000000000004,0.2149999999999993,1.3800000000000052,22.441745867617367
56,Alex (Bambarello) Validator,0.0,9.112763043052119e-05,0.06249089419656105,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,2.1900000000000053,0.5349999999999995,1.3800000000000052,22.417582021827037
57,Tuzem,0.0,2.6311280734204385,0.05658425531657422,10.10000000000003,2.0,0.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,22.32771232873706
